id,product_id,name,image_url,brand_name,brand_id,sell_price,list_price,discount,discount_value,color_css,url,ingredients,batch_id,created_at,updated_at,category
997,1129560363,Brightening Body Milk,https://d1flfk77wl2xk4.cloudfront.net/Assets/70/442/M_p0209744270.jpg,ZHUBEN,330784,9.94,12.42,19% OFF,0.19967794,{},https://www.yesstyle.com/en/zhuben-brightening-body-milk-body-milk-200ml/info.html/pid.1129560363,"Water, Caprylic/Capric Triglyceride, Glycerin, Cyclopentasiloxane, PEG-8 Beeswax, Olea Europaea (Olive) Fruit Oil, Butyrospermum Parkii (Shea) Butter, Niacinamide, Stearyl Alcohol, Astragalus Membranaceus Root Extract, 1,2-Hexanediol, Hydroxyacetophenone, Citrus Aurantium Dulcis (Sweet Orange) Peel Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Pelargonium Graveolens (Geranium) Oil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, 1,2-Hexanediol, Camellia Japonica Seed Oil, Bisabolol, Calophyllum Inophyllum Seed Oil, Dipotassium Glycyrrhizate, Paeonia Albiflora Root Extract, Xanthan Gum, Disodium EDTA, Isododecane, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, Citrus Citratus (Lemongrass) Leaf Oil, 4-tert-Butylcyclohexanol, Lavandula Angustifolia (Lavender) Oil, Polysorbate 80, Scutellaria Baicalensis Root Extract, Bletilla Striata Root Extract, Methyl Dihydrojasmonate, Helichrysum Italicum Flower Oil, Sorbitan Oleate, Lonicera Japonica (Honeysuckle) Flower Extract, , YesStyle sources ZHUBEN products from authorized distributors or wholesalers.",,2024-11-06 03:25:21.547600,2024-11-12 11:06:38.132176,beauty-body-moisturizers
16,1131107747,Blending Mood Cheek My Bear Collection - 2 Types,https://d1flfk77wl2xk4.cloudfront.net/Assets/08/693/M_p0212569308.jpg,dasique,330383,14.22,15.80,10% OFF,0.1,{brown},https://www.yesstyle.com/en/dasique-blending-mood-cheek-my-bear-collection-2-types-16-brown-bear/info.html/pid.1131107747,"[#01 Pink Bear] Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Yellow 5 Lake (Ci 19140), Ultramarines (Ci 77007), Titanium Dioxide (Ci 77891), Aluminum Hydroxide, Triethoxycaprylylsilane, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Diisostearyl Malate, 1,2-Hexanediol, Caprylyl Glycol, Mica, Mica, Lauroyl Lysine, Silica, Methicone, Caprylic/Capric Triglyceride, Hexyl Laurate, Aluminum Hydroxide, Red 30 Lake (Ci 73360), Dimethicone, Dimethicone Crosspolymer [#02 Fog Bear] Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Iron Oxides (Ci 77499), Ultramarines (Ci 77007), Iron Oxides (Ci 77492), Titanium Dioxide (Ci 77891), Aluminum Hydroxide, Triethoxycaprylylsilane, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Diisostearyl Malate, 1,2-Hexanediol, Caprylyl Glycol, Mica, Mica, Lauroyl Lysine, Silica, Methicone, Caprylic/Capric Triglyceride, Hexyl Laurate, Aluminum Hydroxide, Red 30 Lake (Ci 73360), Dimethicone, Dimethicone Crosspolymer [#03 Rose Bear] Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Iron Oxides (Ci 77499), Ultramarines (Ci 77007), Iron Oxides (Ci 77492), Titanium Dioxide (Ci 77891), Aluminum Hydroxide, Triethoxycaprylylsilane, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Diisostearyl Malate, 1,2-Hexanediol, Caprylyl Glycol, Mica, Mica, Lauroyl Lysine, Silica, Methicone, Caprylic/Capric Triglyceride, Hexyl Laurate, Aluminum Hydroxide, Red 30 Lake (Ci 73360), Dimethicone, Dimethicone Crosspolymer [#04 Mauve Bear] Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Iron Oxides (Ci 77499), Ultramarines (Ci 77007), Iron Oxides (Ci 77492), Titanium Dioxide (Ci 77891), Aluminum Hydroxide, Triethoxycaprylylsilane, Dimethicone, Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Polymethylsilsesquioxane, Diisostearyl Malate, 1,2-Hexanediol, Caprylyl Glycol, Mica, Mica, Lauroyl Lysine, Silica, Methicone, Caprylic/Capric Triglyceride, Hexyl Laurate, Aluminum Hydroxide, Red 30 Lake (Ci 73360), Dimethicone, Dimethicone Crosspolymer, dasique, dasique, dasique, YesStyle, dasique, , YesStyle is an authorized retailer of dasique.",,2024-11-06 03:15:17.333461,2024-11-09 18:22:41.263483,beauty-cheeks
15,1128366348,3 In 1 Highlight Blush Contour Palette - 3 Types,https://d1flfk77wl2xk4.cloudfront.net/Assets/61/793/M_p0207379361.jpg,HANDAIYAN,330679,3.29,4.11,19% OFF,0.19951338,{},https://www.yesstyle.com/en/handaiyan-3-in-1-highlight-blush-contour-palette-3-types-03-6g/info.html/pid.1128366348,"Mica, Magnesium Stearate, Talc, Methylparaben, Propylparaben, Dimethicone, Ethylhexyl Palmitate, CI 77942, CI 77941, CI 77499, , YesStyle is an authorized retailer of HANDAIYAN.",,2024-11-06 03:15:16.870479,2024-11-07 13:15:15.203466,beauty-cheeks
7,1119523405,Chic In Cheek - 11 Colors,https://d1flfk77wl2xk4.cloudfront.net/Assets/56/618/M_p0188261856.jpg,PINKFLASH,329636,2.27,3.24,29% OFF,0.29938272,{red},https://www.yesstyle.com/en/pinkflash-chic-in-cheek-11-colors/info.html/pid.1119523405,"Talc，Mica，Silica，Magnesium Stearate，Ethylhexyl Palmitate，Mineral Oil，Dimethicone，Diethylhexyl，Syringylidenemalonate，Polybutene，Tin Oxide，Methylparaben，Propylparaben
May Contain：Ci 77891，Ci 77491，Ci 15850，Ci 77499，Ci 77266，Ci 19140, PINKFLASH, PINKFLASH, , YesStyle sources PINKFLASH products from authorized distributors or wholesalers.",,2024-11-06 03:15:13.015588,2024-11-07 13:12:54.079218,beauty-cheeks
9,1129872751,Pure Glash Highlighter - 4 Colors,https://d1flfk77wl2xk4.cloudfront.net/Assets/22/156/M_p0210415622.jpg,2aN,324946,7.34,7.34,,0.0,{},https://www.yesstyle.com/en/2an-pure-glash-highlighter-4-colors-nd02-clear/info.html/pid.1129872751,"Dimethicone, Titanium Dioxide (CI 77891), Mica (CI 77019), Synthetic Fluorphlogopite, Methyl Methacrylate Crosspolymer, Calcium Titanium Borosilicate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Neopentyl Glycol Diethylhexanoate, Hexyl Laurate, Dimethicone/Vinyl Dimethicone Crosspolymer, Magnesium Myristate, Nylon-12, Diglyceryl Sebacate/Isopalmitate, Sorbitan Sesquiisostearate, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Synthetic Wax, Propanediol, Triethoxycaprylylsilane, Tocopherol, Tin Oxide (CI 77861), Phenoxyethanol, Ultramarines (CI 77007), Iron Oxides (CI 77491), Iron Oxides (CI 77499), 2aN, 2aN’s, 2aN’s, YesStyle, 2aN, , YesStyle is an authorized retailer of 2aN.",,2024-11-06 03:15:13.989614,2024-11-07 13:13:04.946188,beauty-cheeks
12,1130173320,Mini Blush & Highlight Puff,https://d1flfk77wl2xk4.cloudfront.net/Assets/39/525/M_p0211152539.jpg,Judydoll,330281,2.49,4.99,50% OFF,0.501002,{},https://www.yesstyle.com/en/judydoll-mini-blush-highlight-puff-mini-puff-1pc/info.html/pid.1130173320,"Sponge Fiber, Judydoll, ",,2024-11-06 03:15:15.424281,2024-11-07 13:13:20.249938,beauty-cheeks
14,1128962655,2 in 1 Liquid Blush - #04-#06,https://d1flfk77wl2xk4.cloudfront.net/Assets/40/564/M_p0208456440.jpg,Gege Bear,330699,3.12,4.46,30% OFF,0.30044842,{},https://www.yesstyle.com/en/gege-bear-2-in-1-liquid-blush-04-06-06-7g/info.html/pid.1128962655,"Mineral Oil, Polyisobutene, Beeswax, Glyceryl Behenate/Eicosadioate, Microcrystalline Wax, CI 77491, , YesStyle sources Gege Bear products from authorized distributors or wholesalers.",,2024-11-06 03:15:16.357492,2024-11-07 13:13:32.813666,beauty-cheeks
19,1118824363,Munyutto Highlighter,https://d1flfk77wl2xk4.cloudfront.net/Assets/58/433/M_p0186543358.jpg,Canmake,311583,6.37,7.96,19% OFF,0.19974874,{},https://www.yesstyle.com/en/canmake-munyutto-highlighter/info.html/pid.1118824363,"Triethyl hexanoin, synthetic fluorofloropite, dimethicone, diisosteryl malate, (dimethicone / vinyl dimethicon) cross polymer, silica, squalane, olive fruit oil, ceramide NP, jojojoba seed oil, caninabara fruit oil, retinolic acid trumitinate, trucosa leaf extract, BG, micro crystalline wax, BG, microcrystalline wax. Paraffin, Tocco Ferrol, phenoxyethanol, methylparaben, ascorbyl dipalmate, mica, titanium oxide, iron oxide, red 202, alco hydroxide, tin oxide, Canmake, Canmake, ",,2024-11-06 03:15:18.716837,2024-11-07 13:14:01.778325,beauty-cheeks
3,1122099510,Sisua Butter Glow Stick,https://d1flfk77wl2xk4.cloudfront.net/Assets/17/702/M_p0193970217.jpg,UNLEASHIA,323532,6.72,9.80,31% OFF,0.31428573,{},https://www.yesstyle.com/en/unleashia-sisua-butter-glow-stick-7g/info.html/pid.1122099510,"C12-15 Alkyl Benzoate, Octyldodecanol, Hydrogenated Polyisobutene, Isotridecyl Isononanoate, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Fragrance, Diisostearyl Malate, Linalool, Borago Officinalis Seed Oil, Phenoxyethanol, Sclerocarya Birrea Seed Oil, Silica Dimethyl Silylate, Helianthus Annuus (Sunflower) Seed Oil, Calcium Titanium Borosilicate, Limonene, Titanium Dioxide, Cocos Nucifera (Coconut) Oil, 	
Calendula Officinalis Flower, Brilliant Blue FCF, Geraniol, Tartrazine, Tin Oxide, UNLEASHIA, MINEST, reduire, UNLEASHIA, MINEST, reduire, YesStyle, UNLEASHIA, , YesStyle is an authorized retailer of UNLEASHIA., UNLEASHIA is a cruelty-free brand., (, )",,2024-11-06 03:15:11.127841,2024-11-07 13:14:40.285472,beauty-cheeks
20,1129269303,Jelly Tint Blush Stick - 4 Colours,https://d1flfk77wl2xk4.cloudfront.net/Assets/86/565/M_p0209256586.jpg,BEAUTY GLAZED,330677,3.71,4.64,20% OFF,0.20043103,{},https://www.yesstyle.com/en/beauty-glazed-jelly-tint-blush-stick-4-colours-102-7g/info.html/pid.1129269303,"AQUA, PROPYLENE GLYCOL, GLYCERIN, CI 16035, CI 45380, CI 45410, AGAROSE, CI 14700, PENTYLENE GLYCOL, CHONDRUS CRISPUS, ETHYLHEXYLGLYCERIN, METHYLPARABEN, SODIUM HYALURONATE, CARBOMER, TRIETHANOLAMINE, AROMA, BEAUTY GLAZED, BEAUTY GLAZED, BEAUTY GLAZED, , YesStyle is an authorized retailer of BEAUTY GLAZED., BEAUTY GLAZED is a cruelty-free brand., (, )",,2024-11-06 03:15:19.166601,2024-11-07 13:15:43.364972,beauty-cheeks
